theta;RFC;KNN;GNB;SVM
3.693825737;80.585;97.475;92.205;94.77
3.706097584;80.425;97.425;92.385;94.775
3.71836943;80.325;97.43;92.29;94.885
3.730641276;80.545;97.41;92.145;94.83
3.742913122;80.12;97.485;92.175;94.875
3.755184969;80.29;97.455;92.315;94.745
3.767456815;80.235;97.46;92.455;94.925
3.779728661;80.335;97.445;92.215;94.845
3.792000508;80.795;97.44;92.12;94.86
3.804272354;80.04;97.465;92.1;94.965
3.8165442;80.585;97.475;92.225;94.905
3.828816047;81.06;97.465;92.215;94.92
3.841087893;80.575;97.475;92.17;94.88
3.853359739;80.08;97.455;92.15;94.9
3.865631585;80.01;97.49;92.375;94.93
3.877903432;80.49;97.515;92.44;95.005
3.890175278;79.835;97.5;92.01;94.905
3.902447124;80.67;97.535;92.105;94.9
3.914718971;80.06;97.5;92.29;94.975
3.926990817;80.665;97.52;92.27;94.91
3.939262663;80.365;97.52;92.385;94.945
3.95153451;80.32;97.525;92.425;94.815
3.963806356;80.27;97.58;92.255;95.04
3.976078202;80.04;97.51;92.21;95.045
3.988350049;80.4;97.465;92.41;94.87
4.000621895;80.49;97.48;92.425;94.96
4.012893741;80.085;97.475;92.43;94.915
4.025165587;79.975;97.53;92.35;94.86
4.037437434;80.08;97.475;92.595;95.015
4.04970928;80.415;97.515;92.52;94.96
4.061981126;80.43;97.485;92.505;94.835
4.074252973;80.615;97.48;92.165;95.005
4.086524819;80.425;97.52;92.39;95.03
4.098796665;80.035;97.525;92.335;94.9
4.111068512;80.54;97.49;92.51;94.94
4.123340358;80.435;97.495;92.44;94.93
4.135612204;80.6;97.485;92.235;94.855
4.14788405;80.115;97.5;92.21;95.01
4.160155897;80.405;97.495;92.315;95.1
4.172427743;80.015;97.485;92.45;94.89
4.184699589;80.325;97.475;92.48;95.105
4.196971436;80.01;97.47;92.535;94.95
4.209243282;80.645;97.37;92.385;94.975
4.221515128;80.305;97.47;92.31;95.06
4.233786975;80.29;97.405;92.415;95.025
4.246058821;80.27;97.445;92.565;94.945
4.258330667;80.11;97.495;92.38;94.99
4.270602513;80.51;97.49;92.29;94.98
4.28287436;80.48;97.435;92.1;94.945
4.295146206;79.94;97.535;92.405;94.885
4.307418052;79.955;97.48;92.315;94.9
4.319689899;79.645;97.505;92.045;94.84
4.331961745;79.885;97.445;92.315;94.795
4.344233591;80.19;97.46;91.995;95.015
4.356505438;79.855;97.48;92.475;95.035
4.368777284;79.755;97.435;92.38;95.005
4.38104913;79.87;97.475;92.295;94.995
4.393320977;79.89;97.45;92.465;94.965
4.405592823;80.18;97.39;92.155;94.95
4.417864669;80.33;97.455;92.195;94.985
4.430136515;80.565;97.41;92.13;94.91
4.442408362;79.84;97.395;92.17;94.92
4.454680208;80.185;97.395;92.305;94.84
4.466952054;79.88;97.37;91.975;94.885
4.479223901;80.065;97.355;91.985;94.835
4.491495747;79.67;97.355;92.27;94.85
4.503767593;79.565;97.395;92.275;94.875
4.51603944;79.82;97.445;91.995;94.84
4.528311286;79.865;97.39;92.025;94.94
4.540583132;80.035;97.35;92.21;94.79
4.552854978;79.59;97.42;92.215;94.9
4.565126825;79.555;97.395;92.065;94.88
4.577398671;79.84;97.365;92.18;94.92
4.589670517;80.315;97.45;92.05;94.905
4.601942364;80.31;97.35;92.05;94.955
4.61421421;79.89;97.38;92.195;94.875
4.626486056;79.965;97.355;92.08;94.845
4.638757903;79.82;97.37;91.925;94.725
4.651029749;79.685;97.36;92.355;94.735
4.663301595;79.73;97.32;92.005;94.885
4.675573441;79.955;97.375;91.88;94.93
4.687845288;80.035;97.25;92.05;94.87
4.700117134;79.77;97.345;92.13;94.74
4.71238898;79.885;97.285;91.99;94.935
4.724660827;79.7;97.36;91.905;94.74
4.736932673;79.89;97.32;91.96;94.845
4.749204519;79.26;97.325;92.025;94.74
4.761476366;79.825;97.28;92.1;94.74
4.773748212;79.375;97.3;91.99;94.755
4.786020058;79.6;97.255;92.05;94.83
4.798291905;79.385;97.3;91.745;94.78
4.810563751;79.365;97.32;91.955;94.725
4.822835597;79.965;97.245;91.91;94.655
4.835107443;79.855;97.165;92.04;94.73
4.84737929;79.205;97.185;92.285;94.85
4.859651136;79.865;97.24;91.96;94.675
4.871922982;79.58;97.26;91.775;94.675
4.884194829;79.995;97.26;92.005;94.7
4.896466675;79.83;97.225;91.78;94.67
4.908738521;79.33;97.205;92.12;94.59
4.921010368;79.84;97.225;91.995;94.845
4.933282214;79.505;97.24;91.95;94.64
4.94555406;79.175;97.21;91.745;94.665
4.957825906;80.05;97.23;91.98;94.675
4.970097753;80.05;97.2;92.14;94.82
4.982369599;79.435;97.185;92.11;94.625
4.994641445;79.52;97.145;91.77;94.715
5.006913292;79.51;97.195;92.09;94.815
5.019185138;80.06;97.16;92.005;94.655
5.031456984;79.925;97.18;91.78;94.59
5.043728831;79.695;97.155;91.665;94.605
5.056000677;79.5;97.19;91.725;94.79
5.068272523;79.23;97.2;92.045;94.78
5.080544369;79.665;97.175;91.925;94.69
5.092816216;79.445;97.16;91.835;94.73
5.105088062;79.325;97.105;91.695;94.705
5.117359908;80.23;97.13;91.725;94.81
5.129631755;80.03;97.185;91.585;94.6
5.141903601;79.545;97.135;91.485;94.62
5.154175447;79.88;97.21;91.765;94.695
5.166447294;79.26;97.145;91.945;94.75
5.17871914;79.675;97.165;91.775;94.835
5.190990986;79.535;97.145;91.84;94.695
5.203262833;79.795;97.2;91.58;94.685
5.215534679;79.5;97.11;91.855;94.64
5.227806525;79.3;97.21;91.825;94.73
5.240078371;79.825;97.175;91.635;94.82
5.252350218;79.595;97.17;91.71;94.73
5.264622064;79.59;97.165;91.58;94.8
5.27689391;79.595;97.24;91.84;94.645
5.289165757;79.42;97.215;91.83;94.725
5.301437603;79.74;97.175;91.98;94.615
5.313709449;79.75;97.175;91.785;94.705
5.325981296;79.495;97.22;91.665;94.655
5.338253142;79.75;97.215;91.74;94.72
5.350524988;79.7;97.11;91.75;94.665
5.362796834;79.56;97.11;91.74;94.79
5.375068681;79.595;97.125;91.98;94.795
5.387340527;79.6;97.215;91.585;94.7
5.399612373;79.725;97.2;91.92;94.695
5.41188422;80.045;97.185;91.73;94.71
5.424156066;80.21;97.19;91.885;94.78
5.436427912;79.35;97.2;92.02;94.785
5.448699759;80.095;97.155;91.84;94.775
5.460971605;80.065;97.215;91.765;94.675
5.473243451;79.66;97.205;91.815;94.715
5.485515297;80.115;97.105;91.79;94.66
5.497787144;79.565;97.21;91.63;94.805
5.51005899;79.7;97.185;91.93;94.775
5.522330836;79.48;97.185;92.005;94.71
5.534602683;80.135;97.2;91.57;94.8
5.546874529;79.54;97.225;91.64;94.71
5.559146375;80.035;97.23;91.74;94.675
5.571418222;80.065;97.23;91.73;94.725
5.583690068;79.69;97.24;91.82;94.69
5.595961914;80.205;97.21;91.685;94.72
5.608233761;80.2;97.28;91.825;94.77
5.620505607;79.65;97.24;91.95;94.58
5.632777453;80.055;97.295;91.75;94.8
5.645049299;79.65;97.28;91.98;94.63
5.657321146;79.8;97.295;91.925;94.875
5.669592992;80.04;97.285;91.995;94.725
5.681864838;80.195;97.29;91.76;94.815
5.694136685;79.415;97.19;91.98;94.86
5.706408531;79.76;97.255;91.67;94.79
5.718680377;79.915;97.26;91.56;94.71
5.730952224;79.43;97.245;91.825;94.725
5.74322407;80.275;97.27;91.825;94.91
5.755495916;79.55;97.325;91.745;94.865
5.767767762;79.715;97.3;91.87;94.86
5.780039609;79.725;97.25;91.75;94.83
5.792311455;79.98;97.315;91.595;94.795
5.804583301;80.05;97.225;92.055;94.88
5.816855148;79.615;97.365;91.895;94.965
5.829126994;79.865;97.345;91.755;94.81
5.84139884;80.1;97.3;91.785;94.79
5.853670687;79.765;97.39;91.87;94.82
