;;;;;;;;;
theta1;theta2;RFC;;1NN;;GNB;;SVM;
;;Mean;STD;Mean;STD;Mean;STD;Mean;STD
0.718078321;2.513274123;82.169;1.604;93.556;0.91245;86.307;1.5022;85.597;1.32673
0.718078321;2.692793703;81.667;1.56051;93.264;0.95531;85.95;1.4769;84.497;1.20214
0.718078321;2.872313283;81.606;1.76693;92.992;0.93282;85.581;1.58667;83.847;1.33471
0.718078321;3.051832863;81.307;1.56583;92.708;1.0051;85.021;1.63304;83.635;1.35899
0.718078321;3.231352444;81.018;1.82934;92.59;0.97645;84.613;1.63892;83.706;1.53117
0.718078321;3.410872024;80.862;1.71631;92.572;1.01863;84.397;1.71675;83.444;1.48592
0.718078321;3.590391604;80.753;1.70377;92.475;1.04608;84.153;1.64904;83.153;1.35351
0.718078321;3.769911184;80.881;1.7403;92.599;1.00295;83.994;1.62258;83.368;1.32147
0.718078321;3.949430765;80.901;1.71566;92.64;1.00682;84.121;1.6221;83.307;1.33834
0.718078321;4.128950345;81.739;1.35721;92.847;0.93387;84.388;1.48411;83.55;1.32671
0.718078321;4.308469925;81.856;1.71127;92.89;0.91281;84.624;1.53437;84.032;1.31944
0.718078321;4.487989505;82.717;1.54027;92.931;0.90491;84.85;1.4873;84.692;1.28314
0.718078321;4.667509085;82.964;1.57909;93.238;0.86707;85.207;1.51172;85.276;1.31344
0.718078321;4.847028666;83.518;1.45655;93.633;0.87571;85.594;1.47642;85.675;1.21399
0.718078321;5.026548246;84.025;1.47431;93.885;0.91487;85.65;1.4859;85.828;1.24674
0.718078321;5.206067826;83.861;1.69262;94.108;0.83059;85.672;1.55354;85.965;1.23687
0.718078321;5.385587406;84.563;1.60768;94.45;0.86087;85.767;1.61009;86.25;1.29993
0.718078321;5.565106986;84.836;1.58569;94.66;0.86611;85.971;1.44344;86.265;1.37562
0.718078321;5.744626567;84.993;1.68524;94.697;0.8933;86.351;1.40269;86.126;1.32636
0.718078321;5.924146147;85.329;1.56158;94.779;0.90674;86.725;1.42808;86.599;1.24234
0.718078321;6.103665727;85.131;1.56912;94.979;0.80205;86.739;1.45276;86.71;1.16827
0.718078321;6.283185307;85.042;1.47268;94.807;0.83839;86.494;1.48138;86.768;1.24394
0.897597901;0;85.017;1.6296;95.001;0.7853;86.857;1.51925;86.84;1.13045
0.897597901;0.17951958;84.983;1.57714;94.853;0.83583;86.624;1.42491;86.935;1.23154
0.897597901;0.35903916;85.047;1.31984;94.772;0.81992;86.447;1.47185;87.001;1.17147
0.897597901;0.538558741;85.039;1.55978;94.707;0.8254;86.265;1.58685;87.082;1.18219
0.897597901;0.718078321;84.747;1.40729;94.697;0.79843;86.175;1.46295;86.489;1.33334
0.897597901;0.897597901;84.711;1.51187;94.512;0.83714;86.025;1.50318;86.039;1.35122
0.897597901;1.077117481;84.824;1.41801;94.335;0.81159;86.067;1.4248;85.879;1.18635
0.897597901;1.256637061;84.84;1.53463;94.2;0.9257;86.367;1.32006;85.621;1.21866
0.897597901;1.436156642;84.147;1.46697;94.16;0.95063;86.301;1.43529;85.322;1.30539
0.897597901;1.615676222;83.722;1.53985;93.786;0.92204;86.249;1.36444;85.043;1.23317
0.897597901;1.795195802;83.339;1.53482;93.831;0.93936;86.074;1.40927;85.289;1.17682
0.897597901;1.974715382;83.511;1.61459;94.031;0.90331;85.868;1.39504;85.65;1.22425
0.897597901;2.154234962;83.199;1.55586;94.139;0.92379;85.794;1.50886;85.96;1.21876
0.897597901;2.333754543;83.085;1.54452;94.34;0.89761;85.829;1.53464;85.996;1.34573
0.897597901;2.513274123;82.603;1.57999;94.119;0.88349;86.004;1.49496;85.844;1.21362
0.897597901;2.692793703;82.219;1.73238;93.492;0.97974;85.911;1.50274;84.806;1.20825
0.897597901;2.872313283;81.75;1.77289;92.993;1.00891;85.415;1.56366;83.864;1.30724
0.897597901;3.051832863;81.392;1.67693;92.581;1.04825;84.888;1.58755;83.447;1.33642
0.897597901;3.231352444;81.174;1.76202;92.49;1.02764;84.426;1.79179;83.565;1.46698
0.897597901;3.410872024;80.835;1.47281;92.311;0.96175;84.171;1.6921;83.456;1.47173
0.897597901;3.590391604;80.703;1.85601;92.261;1.01114;83.81;1.62366;83.142;1.44948
0.897597901;3.769911184;80.856;1.72073;92.142;1.02122;83.801;1.72509;83.192;1.46407
0.897597901;3.949430765;80.936;1.52013;92.365;0.95227;83.842;1.55322;83.285;1.35135
0.897597901;4.128950345;81.372;1.67051;92.783;0.98932;84.286;1.6253;83.506;1.30852
0.897597901;4.308469925;81.978;1.43629;93.025;0.9531;84.443;1.54841;83.939;1.30888
0.897597901;4.487989505;82.354;1.74629;93.29;0.89746;84.881;1.5809;84.718;1.24976
0.897597901;4.667509085;83.117;1.57898;93.424;0.94432;85.371;1.44805;85.149;1.26156
0.897597901;4.847028666;83.606;1.54921;93.724;0.81761;85.581;1.40345;85.687;1.2915
0.897597901;5.026548246;84.21;1.45995;94.181;0.81874;85.712;1.54344;86.199;1.21869
0.897597901;5.206067826;84.279;1.47244;94.296;0.87119;85.954;1.46561;86.419;1.31139
0.897597901;5.385587406;84.558;1.37835;94.388;0.89194;85.933;1.54885;86.507;1.20704
