theta;RFC;;KNN;;GNB;;SVC;
3.509748043;80.43;3.1360963;97.335;1.118156966;92.245;2.301624426;94.73;1.748456462
3.522019889;80.755;3.197260546;97.41;1.100863298;92.29;2.197930845;94.66;1.644506005
3.534291735;80.295;3.373495961;97.34;1.126676529;92.225;2.422163289;94.71;1.697321419
3.546563582;80.43;3.197671027;97.355;1.125377714;92.18;2.351084856;94.675;1.752676525
3.558835428;80.535;3.192377641;97.44;1.084619749;92.38;2.150720809;94.655;1.677341647
3.571107274;79.89;3.619102099;97.4;1.070046728;92.33;2.228474815;94.745;1.70219711
3.583379121;80.425;3.358105865;97.425;1.075581238;92.355;2.299233568;94.785;1.785014006
3.595650967;80.015;3.176834116;97.39;1.05966976;92.375;2.177584671;94.765;1.671010174
3.607922813;80.625;2.846379279;97.41;1.080231457;92.29;2.388702577;94.735;1.588167183
3.620194659;80.44;3.134708918;97.39;1.110360302;92.34;2.315037797;94.88;1.658493292
3.632466506;80.255;2.909033345;97.43;1.077079384;92.31;2.264707487;94.685;1.73875674
3.644738352;80.01;2.963089604;97.47;1.085863712;92.205;2.130839037;94.81;1.681933411
3.657010198;79.91;3.418610829;97.41;1.080231457;92.275;2.16953336;94.715;1.667715503
3.669282045;80.08;2.841408102;97.43;1.084020295;92.19;2.356671381;94.69;1.64890873
3.681553891;80.165;3.083062601;97.4;1.063014581;92.18;2.248910847;94.74;1.586631652
3.693825737;80.585;3.461975592;97.475;1.075581238;92.205;2.168057887;94.77;1.548257085
