theta;RFC;;KNN;;GNB;;SVC;
1.705786636;46.51;2.92209685;74.5075;1.929525525;65.7925;2.520926169;56.9225;2.135911691
1.718058482;45.8725;2.801003169;74.38;1.955274917;65.69;2.495525997;56.7875;2.028353704
1.730330329;45.5525;3.027023084;74.2975;1.952464788;65.785;2.47513131;56.6975;2.09532068
1.742602175;45.2825;3.032666937;74.1475;1.944895563;65.7075;2.518445701;56.55;2.076053949
1.754874021;46.0625;3.138545642;73.975;1.984470962;65.5725;2.446756782;56.335;2.177791312
1.767145868;46.34;2.902912331;73.6575;1.997390485;65.4425;2.578239467;55.915;2.280959228
1.779417714;46.9425;3.195867449;73.4175;2.052149787;65.03;2.655014124;55.5925;2.264855128
1.79168956;46.1925;2.640514865;73.3625;2.030817262;64.805;2.72318288;55.37;2.334652008
1.803961407;46.58;2.91673619;73.325;2.069571212;64.71;2.949728801;55.155;2.462666238
1.816233253;46.6525;2.549484016;73.215;1.934560674;64.5875;2.861025821;54.935;2.511627958
1.828505099;46.03;2.739817512;73;1.95480178;64.55;2.834607557;54.875;2.644451739
1.840776945;45.95;2.963739192;72.865;1.878636474;64.5275;2.619135115;54.73;2.545505844
1.853048792;45.95;2.940238086;72.8025;1.953296892;64.3875;2.671931651;54.6325;2.636393133
1.865320638;45.6125;2.922835738;72.66;1.978168345;64.4475;2.761633348;54.32;2.680270509
1.877592484;45.5175;2.889259204;72.62;1.933416665;64.405;2.70018055;54.3;2.62202212
1.889864331;45.56;2.979328783;72.4875;1.956200079;64.4125;2.321469093;53.9;2.621068484
1.902136177;45.4225;2.689724661;72.3625;1.907018288;64.055;2.405873022;53.7875;2.610884668
1.914408023;45.4925;3.036538943;72.33;1.932252571;63.985;2.675542001;53.4875;2.480013861
1.92667987;45.105;3.241562123;72.295;1.911275752;63.73;2.598239789;53.2575;2.56282437
1.938951716;44.7575;3.057869969;72.2375;2.029893778;63.85;2.640312482;53.205;2.473201367
1.951223562;44.79;2.721607981;72.26;2.00434528;63.68;2.659906013;52.87;2.44450404
1.963495408;44.285;2.242493032;72.2475;1.888284605;63.6175;2.667033699;52.89;2.449571391
1.975767255;45.095;3.127654872;72.175;1.945025707;63.51;2.553654244;52.7;2.451020196
1.988039101;44.8675;3.223634401;72.11;1.943682073;63.48;2.708015879;52.6625;2.470165733
2.000310947;45.115;2.866491758;72.235;1.959534383;63.2925;2.729481407;52.65;2.488975693
2.012582794;44.6925;3.122269807;72.2375;1.915520491;63.055;2.940786459;52.705;2.420583607
2.02485464;44.1025;2.759550462;72.195;1.887981727;63.155;2.781137357;52.535;2.343080238
2.037126486;44.8175;2.987861903;72.2125;1.819469359;63.13;2.751699475;52.46;2.428404826
2.049398333;45.1025;2.90927289;72.1775;1.853474777;63.19;2.711577032;52.4075;2.436866584
2.061670179;44.855;2.795125221;72.2325;1.915807597;62.9225;2.730772556;52.4175;2.386172406
2.073942025;45.22;2.864061801;72.1625;1.97780655;62.815;2.625980769;52.2725;2.45104442
2.086213872;45.045;2.827184996;72.1575;1.934442749;62.875;2.755562556;52.4;2.380126047
2.098485718;44.5475;2.803278215;72.0875;1.908001245;62.7425;2.7014938;52.3475;2.436928138
2.110757564;44.32;2.843431026;72.0375;1.945306852;62.6075;2.79804731;52.2625;2.371807064
2.12302941;44.4175;2.554910713;71.99;1.947729447;62.4425;2.718192184;52.1675;2.324880373
2.135301257;44.87;2.9770959;71.915;1.920683472;62.545;2.474969697;52.07;2.381197178
2.147573103;44.515;3.019275575;71.8725;1.931480973;62.4125;2.358329653;51.98;2.309945887
2.159844949;44.0925;3.175817808;71.8425;1.975998165;62.3075;2.396313575;51.9925;2.413880434
2.172116796;44.27;2.691811658;71.8425;1.988924018;62.4675;2.273668566;51.895;2.39248302
2.184388642;44.4;2.678619047;71.735;1.975417677;62.2625;2.302003204;51.8475;2.339843745
2.196660488;44.4175;2.82135938;71.635;1.96958752;62.1275;2.414149695;51.7475;2.282951763
2.208932335;44.585;3.000879038;71.5425;1.938444931;62.07;2.439026445;51.615;2.327128058
2.221204181;44.1;2.786799239;71.4875;1.919106237;62.0925;2.48184785;51.5325;2.270092234
2.233476027;44.2975;3.152914326;71.4325;1.867101698;62.105;2.490527053;51.5225;2.174308798
2.245747873;43.8325;2.39923295;71.4125;1.908001245;62.26;2.46067064;51.43;2.18405586
2.25801972;44.29;2.970420846;71.3675;1.95686452;62.2875;2.498593354;51.365;2.220478552
2.270291566;44.365;2.962351262;71.37;1.947909135;62.24;2.57;51.4275;2.224661491
2.282563412;44.4375;3.080254657;71.2925;1.90855148;62.185;2.608308839;51.485;2.181690858
2.294835259;44.9175;3.049601408;71.27;1.900881375;62.2975;2.690653963;51.43;2.154959396
2.307107105;43.77;2.602325883;71.25;1.82825053;62.215;2.701161787;51.4775;2.245855906
2.319378951;43.665;2.615630899;71.2325;1.78474613;62.275;2.630232879;51.485;2.183122763
2.331650798;44.5425;2.997927409;71.2325;1.77913427;62.3275;2.61311476;51.4325;2.179694646
2.343922644;44.5425;3.04467876;71.2625;1.769666282;62.295;2.548376934;51.4675;2.208974592
